year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2014,1,2014-01-02,2014-12-31,2014-01-03 | 2014-12-31,,2014-12-30,1.0,0.0,5,CFN | DAL | EW | MNST | TSCO,CFN:0.2000000000 | DAL:0.2000000000 | EW:0.2000000000 | MNST:0.2000000000 | TSCO:0.2000000000,2014-12-24,478
2014,2,2014-01-06,2014-01-10,2014-01-10,,2014-01-09,1.0,0.0,5,EXPE | FSLR | MPC | MU | X,EXPE:0.2000000000 | FSLR:0.2000000000 | MPC:0.2000000000 | MU:0.2000000000 | X:0.2000000000,2014-01-09,474
2014,3,2014-01-13,2014-01-17,2014-01-17,,2014-01-16,1.0,0.0,5,EXPE | FSLR | LSI | MPC | MU,EXPE:0.2000000000 | FSLR:0.2000000000 | LSI:0.2000000000 | MPC:0.2000000000 | MU:0.2000000000,2014-01-09,474
2014,4,2014-01-21,2014-01-24,,,2014-01-16,1.0,0.0,5,EXPE | FSLR | LSI | MPC | MU,EXPE:0.2000000000 | FSLR:0.2000000000 | LSI:0.2000000000 | MPC:0.2000000000 | MU:0.2000000000,2014-01-24,474
2014,5,2014-01-27,2014-01-31,2014-01-27,,2014-01-24,1.0,0.0,5,EXPE | LSI | MPC | MU | RHT,EXPE:0.2000000000 | LSI:0.2000000000 | MPC:0.2000000000 | MU:0.2000000000 | RHT:0.2000000000,2014-01-30,474
2014,6,2014-02-03,2014-02-07,2014-02-03,,2014-01-31,1.0,0.0,5,EXPE | LSI | MPC | MU | RHT,EXPE:0.2000000000 | LSI:0.2000000000 | MPC:0.2000000000 | MU:0.2000000000 | RHT:0.2000000000,2014-01-30,474
2014,7,2014-02-10,2014-02-14,2014-02-10,,2014-02-07,1.0,0.0,5,FRX | LSI | MPC | MU | RHT,FRX:0.2000000000 | LSI:0.2000000000 | MPC:0.2000000000 | MU:0.2000000000 | RHT:0.2000000000,2014-02-11,474
2014,8,2014-02-18,2014-02-21,2014-02-18,,2014-02-14,1.0,0.0,5,FRX | LSI | MU | RHT | VRTX,FRX:0.2000000000 | LSI:0.2000000000 | MU:0.2000000000 | RHT:0.2000000000 | VRTX:0.2000000000,2014-02-20,474
2014,9,2014-02-24,2014-02-28,2014-02-25,,2014-02-24,1.0,0.0,5,FRX | LSI | MU | RHT | VRTX,FRX:0.2000000000 | LSI:0.2000000000 | MU:0.2000000000 | RHT:0.2000000000 | VRTX:0.2000000000,2014-02-20,474
2014,10,2014-03-03,2014-03-07,2014-03-04,,2014-03-03,1.0,0.0,5,ALXN | FRX | LSI | RHT | VRTX,ALXN:0.2000000000 | FRX:0.2000000000 | LSI:0.2000000000 | RHT:0.2000000000 | VRTX:0.2000000000,2014-03-04,474
2014,11,2014-03-10,2014-03-14,2014-03-11,,2014-03-10,1.0,0.0,5,AKAM | ALXN | FB | HAR | LSI,AKAM:0.2000000000 | ALXN:0.2000000000 | FB:0.2000000000 | HAR:0.2000000000 | LSI:0.2000000000,2014-03-12,474
2014,12,2014-03-17,2014-03-21,2014-03-18,,2014-03-17,1.0,0.0,5,AKAM | ALXN | FB | HAR | LSI,AKAM:0.2000000000 | ALXN:0.2000000000 | FB:0.2000000000 | HAR:0.2000000000 | LSI:0.2000000000,2014-03-12,474
2014,13,2014-03-24,2014-03-28,2014-03-25,,2014-03-24,1.0,0.0,5,AKAM | ALXN | FB | FRX | HAR,AKAM:0.2000000000 | ALXN:0.2000000000 | FB:0.2000000000 | FRX:0.2000000000 | HAR:0.2000000000,2014-03-28,474
2014,14,2014-03-31,2014-04-04,2014-04-01,,2014-03-31,1.0,0.0,5,AKAM | ALXN | FB | FRX | HAR,AKAM:0.2000000000 | ALXN:0.2000000000 | FB:0.2000000000 | FRX:0.2000000000 | HAR:0.2000000000,2014-04-04,476
2014,15,2014-04-07,2014-04-11,2014-04-08,,2014-04-07,1.0,0.0,5,AKAM | ALXN | FRX | GMCR | HAR,AKAM:0.2000000000 | ALXN:0.2000000000 | FRX:0.2000000000 | GMCR:0.2000000000 | HAR:0.2000000000,2014-04-11,476
2014,16,2014-04-14,2014-04-17,2014-04-15,,2014-04-14,1.0,0.0,5,AKAM | ALXN | FRX | GMCR | NFLX,AKAM:0.2000000000 | ALXN:0.2000000000 | FRX:0.2000000000 | GMCR:0.2000000000 | NFLX:0.2000000000,2014-04-17,476
2014,17,2014-04-21,2014-04-25,2014-04-23,,2014-04-22,1.0,0.0,5,AKAM | FRX | FSLR | GMCR | NFLX,AKAM:0.2000000000 | FRX:0.2000000000 | FSLR:0.2000000000 | GMCR:0.2000000000 | NFLX:0.2000000000,2014-04-22,476
2014,18,2014-04-28,2014-05-02,2014-04-30,,2014-04-29,1.0,0.0,5,AKAM | FRX | FSLR | GMCR | NBR,AKAM:0.2000000000 | FRX:0.2000000000 | FSLR:0.2000000000 | GMCR:0.2000000000 | NBR:0.2000000000,2014-05-02,475
2014,19,2014-05-05,2014-05-09,2014-05-07,,2014-05-06,1.0,0.0,5,FRX | FSLR | GMCR | GME | NBR,FRX:0.2000000000 | FSLR:0.2000000000 | GMCR:0.2000000000 | GME:0.2000000000 | NBR:0.2000000000,2014-05-09,475
2014,20,2014-05-12,2014-05-16,2014-05-14,,2014-05-13,1.0,0.0,5,FRX | FSLR | GME | NBR | NFX,FRX:0.2000000000 | FSLR:0.2000000000 | GME:0.2000000000 | NBR:0.2000000000 | NFX:0.2000000000,2014-05-14,475
2014,21,2014-05-19,2014-05-23,2014-05-21,,2014-05-20,1.0,0.0,5,ATI | FSLR | GME | NBR | NFX,ATI:0.2000000000 | FSLR:0.2000000000 | GME:0.2000000000 | NBR:0.2000000000 | NFX:0.2000000000,2014-05-22,475
2014,22,2014-05-27,2014-05-30,2014-05-29,,2014-05-28,1.0,0.0,5,AGN | APC | ATI | FSLR | NFX,AGN:0.2000000000 | APC:0.2000000000 | ATI:0.2000000000 | FSLR:0.2000000000 | NFX:0.2000000000,2014-05-30,475
2014,23,2014-06-02,2014-06-06,2014-06-05,,2014-06-04,1.0,0.0,5,AGN | APC | ATI | FSLR | NFX,AGN:0.2000000000 | APC:0.2000000000 | ATI:0.2000000000 | FSLR:0.2000000000 | NFX:0.2000000000,2014-06-02,475
2014,24,2014-06-09,2014-06-13,2014-06-12,,2014-06-11,1.0,0.0,5,AGN | APC | ATI | FSLR | NFX,AGN:0.2000000000 | APC:0.2000000000 | ATI:0.2000000000 | FSLR:0.2000000000 | NFX:0.2000000000,2014-06-12,475
2014,25,2014-06-16,2014-06-20,2014-06-19,,2014-06-18,1.0,0.0,5,AGN | APC | ATI | NAVI | NFX,AGN:0.2000000000 | APC:0.2000000000 | ATI:0.2000000000 | NAVI:0.2000000000 | NFX:0.2000000000,2014-06-20,475
2014,26,2014-06-23,2014-06-27,2014-06-26,,2014-06-25,1.0,0.0,5,AGN | APC | MU | NAVI | NFX,AGN:0.2000000000 | APC:0.2000000000 | MU:0.2000000000 | NAVI:0.2000000000 | NFX:0.2000000000,2014-06-24,475
2014,27,2014-06-30,2014-07-03,2014-07-03,,2014-07-02,1.0,0.0,5,AGN | APC | EA | MU | NAVI,AGN:0.2000000000 | APC:0.2000000000 | EA:0.2000000000 | MU:0.2000000000 | NAVI:0.2000000000,2014-07-03,475
2014,28,2014-07-07,2014-07-11,2014-07-11,,2014-07-10,1.0,0.0,5,AGN | EA | MU | NAVI | NFLX,AGN:0.2000000000 | EA:0.2000000000 | MU:0.2000000000 | NAVI:0.2000000000 | NFLX:0.2000000000,2014-07-11,475
2014,29,2014-07-14,2014-07-18,2014-07-18,,2014-07-17,1.0,0.0,5,EA | MU | NAVI | NFLX | SNDK,EA:0.2000000000 | MU:0.2000000000 | NAVI:0.2000000000 | NFLX:0.2000000000 | SNDK:0.2000000000,2014-07-16,475
